Event,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost
Bushfire - Ash Wednesday,Wilsons Promontory,Fire,16/02/1983,18/02/1983,75,1500,17600
"Bushfire - Black Saturday, Victoria",Victoria,Fire,7/02/2009,8/02/2009,173,414,107000
Bushfire - Dandenong Ranges and Mornington Peninsula,Wilsons Promontory,Fire,19/01/1997,21/01/1997,3,40,2900
Bushfire - East Coast,Brisbane,Fire,27/09/1994,7/11/1994,0,9,5910
Bushfire - Eyre Peninsula,Adelaide,Fire,10/01/2005,12/01/2005,9,110,2770
"Bushfire - Hazelwood open cut mine fire, Morwell",Morwell,Fire,9/02/2014,25/03/2014,13,20,10000
Bushfire - Perth Hill Bushfires,Perth,Fire,5/02/2011,7/02/2011,1,12,3500
Bushfire - Victoria,Grampians,Fire,1/01/2006,1/01/2006,4,6,2200
Bushfire - Victoria,Mount Gambier (VIC),Fire,31/12/2005,31/01/2006,4,6,2240
Cyclone Althea,Townsville,Cyclone,24/12/1971,27/12/1971,3,25,2500
Cyclone George,Port Hedland,Cyclone,3/03/2007,8/03/2007,3,20,800
Cyclone Hazel,Carnarvon,Cyclone,1/03/1979,1/03/1979,15,5,1500
Cyclone Larry,Cairns,Cyclone,20/03/2006,20/03/2006,0,30,54000
Cyclone Tracy,Darwin,Cyclone,25/12/1974,25/12/1974,71,650,20000
Earthquake - Meckering and Region,Merredin,Earthquake,14/10/1968,14/10/1968,0,20,150
Earthquake - Newcastle,Sydney,Earthquake,28/12/1989,29/12/1989,13,160,86200
Flood - Brisbane River,Brisbane,Flood,25/01/1974,29/01/1974,13,300,6800
Flood - Dalby,Brisbane,Flood,1/02/1981,1/02/1981,1,5,2000
Flood - Katherine Floods,Katherine,Flood,25/01/1998,2/02/1998,3,30,7000
Flood - North and Central Queensland,Cairns ,Flood,5/02/2000,28/02/2000,1,10,1200
"Flood - Queensland - Charleville, New South Wales - Nyngan, Victoria - Gippsland",Brisbane ,Flood,18/04/1990,30/04/1990,6,60,3000
Flood - Southern Queensland and Northern New South Wales,Brisbane ,Flood,1/05/1996,9/05/1996,5,20,3100
Hail - Armidale and Tamworth,Tamworth,Storm,29/09/1996,29/09/1996,0,10,10400
Hail - Lismore,Lismore (NSW),Storm,8/10/2007,9/10/2007,0,17,9700
"Hail - North Sydney hailstorm, 2017",North sydney,Storm,18/02/2017,18/02/2017,0,3,32800
Hail - Port Broughton,Whyalla,Storm,14/11/1979,14/11/1979,0,71,1000
Hail - South East Queensland,Brisbane ,Storm,24/01/2004,31/01/2004,1,3,2850
Hail - Sydney,Sydney,Storm,14/04/1999,14/04/1999,1,50,170000
Hail - Sydney,Sydney,Storm,9/12/2007,9/12/2007,0,30,41500
Hail - Western Sydney,Sydney,Storm,3/10/1986,3/10/1986,0,10,10400
Hail - Western Sydney,Sydney,Storm,18/03/1990,18/03/1990,0,25,31900
Industrial - Bellevue Hazardous Waste Fire,Perth,Fire,15/02/2001,17/02/2001,0,130,560
Maritime/Coastal - Sydney to Hobart Yacht Race ,Bass Strait,Transport,26/12/1998,30/12/1998,6,70,500
"Sampson Flat bushfire, 2015",Sampson Flat,Fire,2/01/2015,8/01/2015,0,134,2490
"Severe Storm - Melbourne, Victoria",Melbourne,Storm,4/02/2011,6/02/2011,0,1,41867
"Severe Storm - Newcastle, Sydney, Wollongong",Sydney ,Storm,10/02/1978,11/02/1978,0,8,1500
Severe Storm - Nyngan,Bourke,Storm,5/01/1998,5/01/1998,0,1,1200
Severe Storm - South Eastern Australia,Sydney ,Storm,24/08/2003,24/08/2003,1,4,2500
Severe Storm - Sydney,Sydney,Storm,21/01/1991,21/01/1991,1,100,13840
Severe Storm - Sydney,Sydney,Storm,12/02/1992,13/02/1992,0,1,11800
Severe Storm - Sydney and Blue Mountains ,Sydney,Storm,20/11/1994,20/11/1994,2,2,2900
Severe Storm - Sydney and Regions,Dubbo ,Storm,4/02/1998,4/02/1998,0,1,1200
Severe Storm - Western Sydney,Sydney,Storm,9/11/1976,9/11/1976,0,10,73200
Storm - Sydney Hailstorm,Sydney,Storm,14/04/1999,14/04/1999,1,50,170000
Transport - Merredin Rail Collision,Merredin,Transport,13/01/1996,13/01/1996,2,1,1000
Meteorological - Tropical cyclone,Cairns,Storm,27/02/2000,13/03/2000,1,200,13.5
Hydrological - Flood (General),"Granville, NSW",Flood,1/01/2001,1/01/2001,1,30,1.8
Hydrological - Riverine flood,"Maclean,  New South Wales",Flood,8/03/2001,15/03/2001,3,1,30
"Climatological - Land fire (Brush, Bush, Pasture)",Sydney,Fire,8/10/2002,6/12/2002,2,4,7.5
Climatological - Forest fire,Canberra,Fire,8/01/2003,18/02/2003,4,150,45
Climatological - Forest fire,Eyre peninsula,Fire,4/01/2005,26/01/2005,12,20,6
"Climatological - Land fire (Brush, Bush, Pasture)","Marysville, Victoria",Fire,2/02/2009,14/02/2009,180,500,195
"Climatological - Land fire (Brush, Bush, Pasture)","Pinery, Balaklava cities",Fire,25/11/2015,28/11/2015,2,30,30
"Climatological - Land fire (Brush, Bush, Pasture)",New South Wales,Fire,1/09/2019,1/02/2020,32,24,300
