Event,Zone,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost,latitude,longitude
Black Summer - New South Wales,New South Wales,New South Wales,Bushfire,2019-07-01,2020-03-31,26,,188000,-31.8759835,147.2869493
Black Summer - Queensland,Queensland,Queensland,Bushfire,2019-09-01,2019-12-31,,,7000,-22.1646782,144.5844903
Black Summer - Victoria,Victoria,Victoria,Bushfire,2019-11-01,2020-02-29,5,,1860,-36.5986096,144.6780052
Black Summer - South Australia,South Australia,South Australia,Bushfire,2019-11-01,2020-02-29,4,,18600,-30.5343665,135.6301212
"Eastern Victorian bushfires, 2019",Victoria,East Victoria,Bushfire,2019-03-01,2019-03-21,,,3600,-38.0938176,145.2978015
"Tathra bushfire, 2018",New South Wales,Tathra,Bushfire,2018-03-18,2018-03-21,,,6351.6711,-36.7284498,149.9850271
"South-west complex fires, 2018",Victoria,South-west Victoria,Bushfire,2018-03-17,2018-05-02,,,1897.2524,-37.627159,142.179054
Waroona-Yarloop Fire,Western australia,Waroona,Bushfire,2016-01-05,2016-01-08,2,,7100,-32.8492605,115.9082511
Wye River - Jamieson track / Great Ocean Road Bushfire,Victoria,Wye River,Bushfire,2015-12-19,2016-01-21,,,12000,-42.0525162,147.9616106
"Pinery fire, 2015",South Australia,Pinery,Bushfire,2015-11-25,2015-11-30,2,,6100,-34.3083225,138.4579755
"Sampson Flat bushfire, 2015",South Australia,Sampson Flat,Bushfire,2015-01-02,2015-01-08,,134,2490,-34.7489957,138.791576
"Bushfire � Perth Hills, Western Australia 2014",Western Australia,Perth,Bushfire,2014-01-12,2014-01-14,1,,1500,-31.9558933,115.8605855
Bushfire - Victoria,Victoria,Grampians,Bushfire,2006-01-01,,4,6,2200,-37.3732495,142.2788917
"Bushfire - Coonabarabran, 2013",New South Wales,Coonabarabran,Bushfire,2013-01-07,2013-01-20,A ,,3500,-31.2728076,149.2733225
"Bushfire - Hazelwood open cut mine fire, Morwell",victoria,Morwell,Bushfire,2014-02-09,2014-03-25,,20,10000,-38.2362806,146.3977139
"Dunalley and Tasmanian bushfires, 2013",Tasmania,Dunalley,Bushfire,2013-01-01,2013-01-14,1,,8900,-42.8898228,147.8045263
Bushfire - Augusta - Margaret River,Western Australia,Bunbury,Bushfire,2011-11-23,2011-12-06,,,5300,-33.3267797,115.636698
Bushfire - Perth Hill Bushfires,Western Australia,Perth,Bushfire,2011-02-05,2011-02-07,,12,3500,-31.9558933,115.8605855
"Bushfire - Black Saturday, Victoria",Victoria,Victoria,Bushfire,2009-02-07,2009-02-08,173,414,107000,-36.5986096,144.6780052
Bushfire - Victoria,Victoria,Mount Gambier (VIC),Bushfire,2005-12-31,2006-01-31,4,6,2240,-37.5884941,141.3905057
Bushfire - Eyre Peninsula,South Australia,Adelaide,Bushfire,2005-01-10,2005-01-12,9,110,2770,-34.9281805,138.5999312
"Bushfire - North-Eastern Victoria, Alpine Region",Victoria,Cooma (VIC),Bushfire,2003-01-08,2003-03-19,,,1200,-36.409381,145.0728646
Bushfire - Sydney,New South Wales,Sydney,Bushfire,2002-10-09,2002-10-09,,,2500,-33.8698439,151.2082848
Bushfire - Black Christmas,"New South Wales , Australian Capital Territory",Sydney,Bushfire,2001-12-24,2002-01-11,,,6900,-33.8698439,151.2082848
Bushfire - Kangaroo Island,South Australia,Kangaroo Island,Bushfire,2007-12-06,,1,,1790,-35.8182635,137.1566125
Bushfire - Dandenong Ranges and Mornington Peninsula,Victoria,Wilsons Promontory,Bushfire,1997-01-19,1997-01-21,3,40,2900,-38.9567021,146.3514784
Bushfire - East Coast,Queensland,Brisbane,Bushfire,1994-09-27,1994-11-07,,9,5910,-27.4689682,153.0234991
"Bushfire - North Coast, Hunter and Sydney",New South Wales,Dubbo,Bushfire,1993-12-27,1994-01-16,4,,5900,-32.2478964,148.6026502
Bushfire - Western Sydney and Central Coast,New South Wales,Sydney,Bushfire,1991-10-16,1992-01-31,2,,1200,-33.8698439,151.2082848
Bushfire - North-Western Regions ,New South Wales,Bourke,Bushfire,1984-09-01,1985-02-01,4,,2500,-30.0914494,145.9429902
Bushfire - Ash Wednesday,"Victoria , South Australia",Wilsons Promontory,Bushfire,1983-02-16,1983-02-18,75,1500,17600,-38.9567021,146.3514784
Bushfire - Mount Lofty Ranges,South Australia,Adelaide,Bushfire,1980-02-20,1980-02-20,,,1300,-34.9281805,138.5999312
Bushfire - Western Districts and Streatham ,Victoria,Melbourne,Bushfire,1977-02-12,1977-02-12,4,,900,-37.8142454,144.9631732
Bushfire - Blue Mountains and Illawarra,New South Wales,Sydney,Bushfire,1968-10-15,1968-12-03,14,,150,-33.8698439,151.2082848
Bushfire - Black Tuesday Tasmania,Tasmania,Hobart,Bushfire,1967-02-07,1967-02-07,62,,1400,-42.8825088,147.3281233
Bushfire - Blue Mountains and Sydney Region,New South Wales,Sydney,Bushfire,1957-11-30,1957-12-04,4,,100,-33.8698439,151.2082848
Cyclone Veronica,Western Australia,Port Hedland,Cyclone,2019-03-20,,,,2670,-20.3111814,118.5801181
Cyclone Marcus,Northern Territory,Darwin,Cyclone,2018-03-15,,,,7500,-12.46044,130.8410469
Cyclone Debbie,Queensland,Airlie Beach,Cyclone,2017-03-28,2017-03-31,10,,178159.9484,-20.272494,148.7181466
Cyclone Marcia,Queensland,Shoalwater Bay,Cyclone,2015-02-15,2015-02-26,,,40400,-22.39281,150.41159
