Event,Zone,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost,latitude,longitude
"Transport - Gulf of Carpentaria Light Aircraft Crash, Queensland 1999",Queensland,Gulf of Carpentaria,Transport,1999-11-24,1999-11-24,6,0,Not Available,-14.0346402,138.975284
Maritime/Coastal - Lake Illawarra,Tasmania,Hobart,Maritime/Coastal,1975-01-05,1975-01-05,12,0,Not Available,-42.8825088,147.3281233
Transport - Merredin Rail Collision,Western Australia,Merredin,Transport,1996-01-13,1996-01-13,2,1,10000000,-31.4813329,118.2779117
Industrial - Hunter Valley Silo Explosion,New South Wales,Sydney,Industrial,1999-12-06,1999-12-06,3,1,Not Available,-33.8698439,151.2082848
Shipwreck - Moolgewanke,South Australia,Murray Bridge (SA),Maritime/Coastal,1874-07-21,1874-07-21,3,1,Not Available,-35.1309451,139.2651638
Shipwreck - Shark Ace 4,Victoria,Cooma (VIC),Maritime/Coastal,1990-05-12,1990-05-12,3,1,Not Available,-36.409381,145.0728646
Transport - Benalla Train Derailment,Victoria,Melbourne,Transport,2002-10-13,2002-10-13,3,1,Not Available,-37.8142454,144.9631732
"Transport - Torres Strait plane crash, Queensland 1999",Queensland,Torres Strait,Transport,1999-01-16,,3,1,Not Available,-10.416667,142.166667
Transport - Beaufort Train Derailment,Victoria,Melbourne,Transport,1910-02-05,1910-02-05,3,1,Not Available,-37.8142454,144.9631732
Transport - Bundaberg Air Ambulance Crash ,Queensland,Bundaberg,Transport,1987-06-21,1987-06-21,4,1,Not Available,-24.8653253,152.3516785
Shipwreck - Bertha,Victoria,Wilsons Promontory,Maritime/Coastal,1870-09-08,1870-09-08,7,1,Not Available,-38.9567021,146.3514784
Shipwreck - Ecliptic,Victoria,Wilsons Promontory,Maritime/Coastal,1874-03-30,1874-03-30,8,1,Not Available,-38.9567021,146.3514784
Industrial - Broken Hill Mine Collapse,New South Wales,Broken Hill,Industrial,1895-07-18,1895-07-18,9,1,Not Available,-31.965,141.4511111
Shipwreck - Ellen Simpson,Victoria,Cooma (VIC),Maritime/Coastal,1866-05-17,1866-05-17,9,1,Not Available,-36.409381,145.0728646
Shipwreck - Tubal Cain,Victoria,Wilsons Promontory,Maritime/Coastal,1862-08-26,1862-08-26,12,1,Not Available,-38.9567021,146.3514784
