"state","Category","decade","total_count"
"New South Wales","Flood","1850","3"
"Tasmania","Flood","1850","1"
"Victoria","Fire","1850","1"
"New South Wales","Flood","1860","4"
"New South Wales","Transport","1870","1"
"Northern Territory","Flood","1870","1"
"Queensland","Flood","1870","1"
"New South Wales","Transport","1880","1"
"Queensland","Cyclone","1880","1"
"South Australia","Flood","1880","1"
"New South Wales","Flood","1890","2"
"New South Wales","Transport","1890","1"
"Northern Territory","Cyclone","1890","1"
"Queensland","Cyclone","1890","2"
"Queensland","Flood","1890","1"
"Queensland","Transport","1890","1"
"South Australia","Earthquake","1890","1"
"Victoria","Fire","1890","1"
"New South Wales","Transport","1900","1"
"Queensland","Cyclone","1900","2"
"Victoria","Fire","1900","1"
"Victoria","Transport","1900","2"
"New South Wales","Transport","1910","1"
"Queensland","Cyclone","1910","2"
"Queensland","Fire","1910","2"
"Queensland","Flood","1910","2"
"Queensland","Transport","1910","1"
"Victoria","Transport","1910","2"
"Western Australia","Cyclone","1910","2"
"New South Wales","Transport","1920","4"
"Queensland","Fire","1920","1"
"Queensland","Flood","1920","5"
"Queensland","Transport","1920","1"
"Tasmania","Flood","1920","1"
"Victoria","Fire","1920","1"
"Victoria","Transport","1920","1"
"Western Australia","Transport","1920","1"
"New South Wales","Fire","1930","2"
"New South Wales","Storm","1930","1"
"New South Wales","Transport","1930","2"
"Queensland","Cyclone","1930","1"
"Queensland","Flood","1930","1"
"Victoria","Fire","1930","1"
"Victoria","Flood","1930","2"
"Victoria","Transport","1930","1"
"Western Australia","Cyclone","1930","1"
"New South Wales","Storm","1940","1"
"New South Wales","Transport","1940","4"
"Queensland","Cyclone","1940","1"
"Queensland","Flood","1940","1"
"Queensland","Transport","1940","3"
"South Australia","Fire","1940","1"
"South Australia","Transport","1940","1"
"Tasmania","Transport","1940","1"
"Victoria","Transport","1940","1"
"Western Australia","Transport","1940","1"
"New South Wales","Fire","1950","2"
"New South Wales","Flood","1950","4"
"New South Wales","Transport","1950","2"
"Queensland","Cyclone","1950","4"
"Queensland","Fire","1950","1"
"Queensland","Flood","1950","1"
"Queensland","Transport","1950","1"
"South Australia","Earthquake","1950","1"
"South Australia","Fire","1950","2"
"South Australia","Flood","1950","1"
"Victoria","Fire","1950","2"
"Victoria","Transport","1950","2"
"Western Australia","Transport","1950","1"
"New South Wales","Fire","1960","1"
"New South Wales","Transport","1960","2"
"Northern Territory","Cyclone","1960","1"
"Queensland","Cyclone","1960","1"
"Queensland","Transport","1960","3"
"South Australia","Transport","1960","1"
"Tasmania","Fire","1960","1"
"Victoria","Fire","1960","5"
"Victoria","Transport","1960","2"
"Western Australia","Earthquake","1960","1"
"Western Australia","Transport","1960","1"
"ACT","Flood","1970","1"
"New South Wales","Fire","1970","3"
"New South Wales","Flood","1970","3"
"New South Wales","Storm","1970","3"
"New South Wales","Transport","1970","3"
"Northern Territory","Cyclone","1970","1"
"Queensland","Cyclone","1970","3"
"Queensland","Flood","1970","3"
"Queensland","Storm","1970","1"
"South Australia","Storm","1970","1"
"South Australia","Transport","1970","5"
"Victoria","Fire","1970","1"
"Victoria","Transport","1970","1"
"Western Australia","Cyclone","1970","3"
"New South Wales","Earthquake","1980","1"
"New South Wales","Fire","1980","6"
"New South Wales","Flood","1980","3"
"New South Wales","Storm","1980","2"
"New South Wales","Transport","1980","3"
"Northern Territory","Earthquake","1980","1"
"Northern Territory","Flood","1980","1"
"Northern Territory","Transport","1980","1"
"Queensland","Cyclone","1980","2"
"Queensland","Flood","1980","2"
"Queensland","Storm","1980","1"
"Queensland","Transport","1980","2"
"South Australia","Fire","1980","1"
"South Australia","Storm","1980","1"
"South Australia","Transport","1980","1"
