Year,Category,freq,Rank
1950,Fire,7,1
1950,Flood,6,2
1950,Transport,6,3
1950,Cyclone,4,4
1950,Storm,0,5
1960,Transport,9,1
1960,Fire,7,2
1960,Cyclone,2,3
1960,Flood,0,4
1960,Storm,0,5
1970,Transport,9,1
1970,Cyclone,7,2
1970,Flood,7,3
1970,Storm,5,4
1970,Fire,4,5
1980,Transport,11,1
1980,Fire,9,2
1980,Flood,6,3
1980,Storm,5,4
1980,Earthquake,5,4
1980,Cyclone,3,5
1990,Storm,26,1
1990,Transport,18,2
1990,Flood,11,3
1990,Fire,10,4
1990,Cyclone,5,5
1990,Earthquake,5,5
2000,Transport,25,1
2000,Storm,23,2
2000,Fire,17,3
2000,Flood,16,4
2000,Cyclone,4,5
2000,Earthquake,3,5
2010,Fire,25,1
2010,Flood,13,2
2010,Storm,10,3
2010,Cyclone,7,4
2010,Transport,3,5

